event_type,event_count
API_TIMEOUT,1
EMAIL_SENT,1
USER_LOGOUT,1
DATABASE_CONNECTION_FAILED,1
ADDRESS_UPDATED,1
SERVICE_UNAVAILABLE,1
DATA_VALIDATION_FAILED,1
NOTIFICATION_SENT,1
ITEM_ADDED_TO_CART,1
RETRYING_EXTERNAL_API,1
FILE_PROCESSING_FAILED,1
TRANSACTION_COMPLETED,1
HIGH_MEMORY_USAGE,1
ORDER_PROCESSING_FAILED,1
CACHE_MISS,1
INVENTORY_UPDATE_FAILED,1
CPU_USAGE_HIGH,1
REPORT_GENERATED,1
LARGE_RESPONSE_TIME,1
ETL_JOB_FAILED,1
SESSION_CREATION_FAILED,1
PAYMENT_SUCCESS,1
AUTHENTICATION_FAILED,1
LOGOUT_SUCCESS,1
SLOW_API_RESPONSE,1
SUBSCRIPTION_RENEWED,1
SETTINGS_UPDATED,1
PROFILE_UPDATED,1
DASHBOARD_VIEW,1
MICROSERVICE_FAILURE,1
API_CALL_SUCCESS,1
MEMORY_LEAK_DETECTED,1
THIRD_PARTY_API_DELAY,1
LOGIN_SUCCESS,1
FILE_UPLOAD,1
TOKEN_EXPIRED,1
USER_PREFERENCES_UPDATED,1
PAYMENT_GATEWAY_TIMEOUT,1
ACCOUNT_CREATED,1
PRODUCT_VIEWED,1
DISK_SPACE_LOW,1
CART_CHECKOUT,1
DOWNLOAD_COMPLETED,1
MOBILE_LOGIN,1
QUEUE_DELAY,1
SEARCH_QUERY,1
OTP_VERIFIED,1
NETWORK_LATENCY_HIGH,1
PAYMENT_FAILED,1
PASSWORD_RESET,1
