event_type,avg_response_time,min_response_time,max_response_time,total_requests
ETL_JOB_FAILED,5200.0,5200,5200,1
PAYMENT_GATEWAY_TIMEOUT,5000.0,5000,5000,1
MEMORY_LEAK_DETECTED,4900.0,4900,4900,1
LARGE_RESPONSE_TIME,4700.0,4700,4700,1
THIRD_PARTY_API_DELAY,4500.0,4500,4500,1
SLOW_API_RESPONSE,4200.0,4200,4200,1
NETWORK_LATENCY_HIGH,4100.0,4100,4100,1
QUEUE_DELAY,3800.0,3800,3800,1
SERVICE_UNAVAILABLE,3500.0,3500,3500,1
DISK_SPACE_LOW,3500.0,3500,3500,1
MICROSERVICE_FAILURE,3300.0,3300,3300,1
ORDER_PROCESSING_FAILED,3200.0,3200,3200,1
FILE_PROCESSING_FAILED,2900.0,2900,2900,1
CPU_USAGE_HIGH,2800.0,2800,2800,1
SESSION_CREATION_FAILED,2700.0,2700,2700,1
HIGH_MEMORY_USAGE,2500.0,2500,2500,1
INVENTORY_UPDATE_FAILED,2100.0,2100,2100,1
API_TIMEOUT,2000.0,2000,2000,1
RETRYING_EXTERNAL_API,1900.0,1900,1900,1
DATABASE_CONNECTION_FAILED,1800.0,1800,1800,1
DATA_VALIDATION_FAILED,900.0,900,900,1
CACHE_MISS,700.0,700,700,1
REPORT_GENERATED,500.0,500,500,1
FILE_UPLOAD,450.0,450,450,1
DOWNLOAD_COMPLETED,310.0,310,310,1
CART_CHECKOUT,300.0,300,300,1
PAYMENT_FAILED,300.0,300,300,1
TOKEN_EXPIRED,250.0,250,250,1
TRANSACTION_COMPLETED,240.0,240,240,1
PAYMENT_SUCCESS,220.0,220,220,1
AUTHENTICATION_FAILED,180.0,180,180,1
ACCOUNT_CREATED,170.0,170,170,1
SUBSCRIPTION_RENEWED,160.0,160,160,1
PASSWORD_RESET,150.0,150,150,1
MOBILE_LOGIN,140.0,140,140,1
EMAIL_SENT,130.0,130,130,1
NOTIFICATION_SENT,125.0,125,125,1
LOGIN_SUCCESS,120.0,120,120,1
API_CALL_SUCCESS,115.0,115,115,1
ITEM_ADDED_TO_CART,110.0,110,110,1
ADDRESS_UPDATED,100.0,100,100,1
USER_PREFERENCES_UPDATED,95.0,95,95,1
SEARCH_QUERY,95.0,95,95,1
PROFILE_UPDATED,90.0,90,90,1
SETTINGS_UPDATED,85.0,85,85,1
LOGOUT_SUCCESS,80.0,80,80,1
OTP_VERIFIED,75.0,75,75,1
DASHBOARD_VIEW,70.0,70,70,1
USER_LOGOUT,65.0,65,65,1
PRODUCT_VIEWED,60.0,60,60,1
